0.2172 & 7.037e-15 & 4.114e+33 & 1.043e+22 & 2.078e+22 & 8.66e+21 \\
1.056 & 3.423e-14 & 2.668e+34 & 4.008e+23 & 4.197e+22 & 2.237e+22 \\
0.1195 & 3.873e-15 & 3.429e+35 & 9.076e+23 & 1.393e+23 & 8.819e+22 \\
0.3539 & 1.147e-14 & 1.232e+34 & 5.382e+22 & 2.902e+22 & 2.43e+22 \\
0.9315 & 3.018e-14 & 1.416e+34 & 1.184e+23 & 4.966e+22 & 3.772e+22 \\
2.853 & 9.245e-14 & 2.397e+33 & 1.209e+23 & 6.379e+21 & 5.596e+21 \\
0.3679 & 1.192e-14 & 5.002e+34 & 1.634e+23 & 1.182e+22 & 1.179e+22 \\
1.462 & 4.738e-14 & 1.553e+34 & 3.028e+23 & 1.047e+23 & 9.274e+22 \\
0.3545 & 1.149e-14 & 5.843e+34 & 1.996e+23 & 3.119e+22 & 2.838e+22 \\
0.3041 & 9.853e-15 & 1.539e+35 & 5.268e+23 & 2.345e+23 & 1.183e+23 \\
2.653 & 8.596e-14 & 1.039e+34 & 2.585e+23 & 1.76e+22 & 1.019e+22 \\
1.336 & 4.328e-14 & 3.826e+33 & 2.641e+22 & 1.092e+22 & 1.084e+22 \\
1.689 & 5.472e-14 & 2.364e+33 & 3.339e+22 & 1.599e+22 & 7.659e+21 \\
1.031 & 3.341e-14 & 1.656e+33 & 7.281e+21 & 7.356e+21 & 7.343e+21 \\
1.383 & 4.482e-14 & 2.734e+33 & 3.647e+22 & 1.181e+22 & 8.613e+21 \\
1.158 & 3.752e-14 & 1.322e+33 & 4.905e+22 & 7.759e+21 & 4.203e+21 \\
0.04726 & 1.531e-15 & 4.999e+35 & 3.589e+23 & 2.49e+23 & 1.213e+23 \\
